Sentence,Sentiment
"""Government's job is to protect the people and save them from any crisis.",Neutral
"But the Prime Minister is threatening the masses,"" the seer of Jyotish and Dwarka Sharada Peeth said in a strongly worded statement on completion of 50 days of demonetization Pointing out money power always plays an important role in all elections right from gram panchayats to parliament, the Shankaracharya said while announcing demonetization, Prime Minister Modi had stated that the notes of Rs 500 and Rs 1000 would cease to be legal tender but now an ordinance has been promulgated making a provision to jail those who are in possession of 10 pieces of junked currency notes.",Positive
"""Why one should be jailed for keeping just a few pieces of paper?""
He wondered.",Negative
The Shankaracharya said the manner in which the government is trying to change the narrative by propagating for a cashless society indicates that an individual's economic freedom is also under threat.,Neutral
"""Do we have a proper system for data protection to prevent hacking and other issues associated with digital economy?""
He asked adding that the crisis triggered after demonetization had badly affected all sections of the society, including farmers, small and medium businessmen.",Negative
"Shankaracharya said that after having failed to handle the situation arising out of demonetization, Modi government is now trying to divert peoples'attention with yet another propaganda to acquire and confiscate benami property.",Negative
"He asked how the government would go about in implementing it, pointing out that such an action would directly hit the farmers and their land as many of them have divided their property into different names because of ceiling laws.",Positive
"""A government is voted to power for a period of five years during which it has to make efforts to fulfil its election promises,"" the Shankaracharya said adding that ""when a ruling party compares opposition to an enemy like Pakistan, it's an indication that it cannot tolerate an opposition.",Neutral
"Ruling party's such an intolerance is now becoming a matter of serious concern,"" the seer said.",Neutral
"currency ban: Why not ask for BJP lawmakers' bank transaction details from before November 8, Arvind Kejriwal asks    Nov 29, 2016, 02.",Neutral
"23 PM     BJP lawmakers need to submit +
 
 Delhi chief minister Arvind Kejriwal +
 
 Why after Nov 8?",Neutral
Pl take details of 6 months bfore Nov8.,Neutral
"Also Modi ji shud obtain bank acc of his friends ambanis, adanis, PayTM, Big Bazar https://t.",Neutral
"co/FdU0MbXBPe
 
 
 
   Arvind Kejriwal (@ArvindKejriwal) November 29, 2016
 
 the move was a scam +
 
 om                             200%                  20                    10%                                             PM   ?",Neutral
"Arvind Kejriwal (@ArvindKejriwal) November 29, 2016
 
                   8                                                                                             200%          10%
 
 
 
   Arvind Kejriwal (@ArvindKejriwal) November 29, 2016
 
 NEW DELHI: After Prime Minister Narendra Modi said today thattheir bank transaction details since the currency ban said the PM should ask for their transaction details of the last six months.",Neutral
"Earlier today, in a bid to stem allegations that party members were aware he was going to scrap highdenomination notes on November 8, the PM asked BJP MPs and MLAs to submit details of their bank account transactions between November 8 and December 31, to party president Amit Shah , by January 1.",Positive
"In fact, it was this precise allegation that the Aam Aadmi Party chief again levelled.",Positive
"He tweeted that the BJP lawmakers would have already ""taken care of their money"" before November 8.",Neutral
"Days after Modi announced the currency ban, Kejriwal alleged thatby the government and that the BJP and other players were aware it was going to happen.",Neutral
"""A huge scam has been perpetrated a few days ago in the name of tackling corruption.",Positive
"When the PM announced the move, he had informed all of his friends who had black money and they secured their money,"" the Delhi CM added.",Negative
"Yesterday, finance minister Arun Jaitley moved a bill to change the Income Tax Act to include a penalty provision for unaccounted for deposits.",Neutral
"Those who made and disclosed bank deposits of such unaccounted money  since the currency ban on November 8  will have to forego 50% of the amount, a part of which will go into a special fund being created for welfare measures for the poor.",Neutral
"In addition, the depositor will be able to access only 25% of the amount as the government has decided to keep the rest locked in for four years as interestfree deposits for the Pradhan Mantri Garib Kalyan Yojana.",Positive
"However, right after the currency ban was announced, the government had warned that cash deposits above Rs 2.",Positive
5 lakh threshold under the 50day window could attract tax plus a 200% penalty in case of an income mismatch.,Neutral
"Kejriwal had something to say about that too, today.",Neutral
"""First the government said it will impose a 200% penalty.",Positive
"After 20 days, it's saying it will impose a 10% penalty.",Neutral
"Have those with black money made the OM bend to their will and reduce the penalty?""
he tweeted.",Negative
It's unclear where Kejriwal got the 10% penalty information from.,Neutral
"Then he tweeted again to say: ""So far Rs 8 lakh crore has been deposited in the bank.",Neutral
Not one paisa of that is black money.,Negative
Currency ban is a fail.,Negative
"""On November 12, the Delhi CM also alleged that there had been significant misreporting on deposits made at banks in months prior to November 8.",Neutral
"""In previous quarters, deposits in banks were negative.",Negative
"But in the JulytoSeptember quarter, such large amounts were being deposited in the banks.",Positive
"Who did all this money belong to?""
Kejriwal asked.",Neutral
"At the time, too, he mentioned the Adanis and Ambanis.",Neutral
"""What kind of person holds black money in this country?",Positive
"Is it the Adanis, Ambanis, Subhash Chandras and Badals?",Neutral
"Or is it rickshawala, cobbler, labourer or farmer?""
Kejriwal asked.",Neutral
"PM Narendra Modi slams Congress, BSP and SP in Uttar Pradesh rally    Jan 2, 2017, 06.",Neutral
"06 PM     massive election campaign in Uttar Pradesh +
 
 Samajwadi Party +
 
 NEW DELHI: Prime Minister Narendra Modi and his BJP couldn't have chosen a more opportune time than today to kick off their.",Positive
And the PM made full use of it by getting in digs at the entire opposition to say that growth and development have stalled in the state because the BJP has been out of power there for 14 years.,Positive
"In one fell swoop, Modi dismissed the ruling(SP), which split yesterday politically and familially, the BSP , which has been beset with allegations of black money laundering and the Congress which has been having trouble regaining its lost glory in Uttar Pradesh.",Negative
"""There is one party with minimal presence in UP, that is trying for 15 years to establish their leader but with little success.",Neutral
"There is another party trying to save money and there is one more party trying to save their own family,"" the PM said at what the BJP has dubbed the 'Parivartan Rally' or the rally for change.",Positive
"The first party he referred to was the Congress, which has seen its political fortunes wane compared to its glory days in Uttar Pradesh in the 1970s and the 1980s.",Positive
The second party he referred to was Mayawati's BSP which has not been able to shake off the taint of corruption allegations.,Positive
"The third party he was referring to was the Samajwadi Party, which split yesterday following months of bickering between father Mulayam Singh Yadav and his chief minister son Akhilesh.",Neutral
"The PM also said that even though the BJP has not been in power in Uttar Pradesh, that doesn't bother him and his party.",Neutral
"""We don't look at politics through that lens.",Neutral
"Our not being in power for 14 years has meant no growth and development in UP for 14 years and that's what hurts the most,"" Modi said.",Positive
"India, he said, can't prosper and grow unless Uttar Pradesh prospers and grows.",Neutral
"""When have you seen the SP and the BSP talking in one voice?",Neutral
"It's rare to happen, but on my decision to end corruption they are (suddenly) speaking in one voice,"" Modi said about both those parties being critical of his move to scrap highvalue currency notes as of November 8.",Neutral
"""They say remove Modi I say remove black money, they say remove Modi, I say remove corruption.",Negative
"You decide what you want to remove,"" he said, again extolling the virtues of a digital and cashless economy.",Neutral
The PM also predicted a win for the BJP in the upcoming elections in Uttar Pradesh.,Positive
"""All the political pundits who keep track of election results.",Neutral
after this rally they won't have to do any work to figure out who the winner will be.,Neutral
They can just see all you people gathered here and get their answer.,Neutral
"The winds of change are visible,"" the PM said.",Neutral
"Waive off cash withdrawal limit for rural housing beneficiaries: Naveen to Modi    Dec 16, 2016, 10.",Neutral
"33 PM     BHUBANESWAR: Despite his initial support to the November 8 demonetization move , chief minister Naveen Patnaik on Friday wrote another letter to Prime Minister Narendra Modi that highlighted the inconvenience faced by people due to the decision.",Neutral
"Naveen, in his fourth letter since the note ban move, urged Modi to waive out the financial limit of withdrawal from bank accounts for the beneficiaries of different rural housing schemes.",Neutral
"The chief minister said that the total sanctioned amount for one unit of house is released in four installments  Rs 20,000, Rs 30,000/35,000, Rs 40,000/45,000 and Rs 30,000.",Neutral
"""Thus, the first installment of Rs 20,000 is within the limit of withdrawal from bank account set by the Reserve Bank of India (RBI) post demonetization, but the rest three others go beyond the stipulated limit of withdrawal,"" Naveen said adding the limit of withdrawal from bank account causes inconvenience to the poor beneficiaries of different housing schemes.",Neutral
The chief minister also said that the restriction on withdrawal has also been a dampener to the state government's goal of completing nearly 5 lakh houses during the current financial year (201617).,Neutral
"So far, Odisha has succeeded in completing nearly 1.",Neutral
"4 lakh houses under different rural housing schemes (both centrally sponsored and state funded) like Pradhan Mantri Awas Yojana Gramin, Biju Pucca Ghar Yojana, Indira Awas Yojana and Nirman Sharmika Pucca Ghara Yojana.",Neutral
All these schemes are being implemented by the state panchayati raj department.,Neutral
"""Timely release of installments to the beneficiaries, among other initiatives taken up by state, plays a pivotal role in successful implementation of these schemes,"" Naveen said.",Positive
"In his previous three letters, the chief minister raised objection on RBI decision regarding withdrawal of deposit and exchange facilities of scrapped notes at district central cooperative banks (DCCB), highlighted plight of farmers due to poor cash flow to DCCBs and requested exemption of PAN cards for people in scheduled areas for transactions of more than Rs 50,000.",Neutral
The chief minister also discussed all the issues during his meeting with the Prime Minister in New Delhi on November 21.,Positive
Leader of opposition Narasingha Mishra said the chief minister should make his stand clear on the demonetization issue as he keeps on writing letter to the Prime Minister highlighting its impact despite extending his support to the move initially.,Neutral
"BJP spokesperson Sajjan Sharma said if Naveen (Babu) has any issues, he could have raised them in a panel constituted by the NITI Aayog to promote cashless transactions.",Neutral
He also expressed doubt over the state government's claim regarding completion of 1.,Neutral
"PM Modi: 'My government's agenda is to stop corruption, opposition's agenda is to stop Parliament,' says PM Narendra Modi    Dec 19, 2016, 03.",Neutral
"17 PM     stalled the just concluded winter session +
 
 Modi said at a rally in Uttar Pradesh +
 
 Modi further reiterated +
 
 NEW DELHI: Again today, Prime Minister Narendra Modi insinuated that those not in favour of the note ban are in favour of corruption and black money.",Neutral
"And that's why, the PM said, the opposition parties  who oppose the ban on high value notes of Parliament .",Positive
"""So they can protect the corrupt and their black money,"" he alleged.",Negative
"""Our agenda is stop corruption.",Neutral
The Opposition's agenda is to stall Parliament.,Neutral
"My government is intent on stopping the corrupt and the opposition wants to protect them,""today, as he again took to the pulpit to tout a ""cashless digital India.",Neutral
"""The PM slammed the opposition for its ""constant shouting and sloganeering in Parliament"", which he said hurt the dignity of the august institution.",Neutral
"""They were having trouble explaining the inaction against black money during their reign.",Negative
"So they were shouting, throwing paper at the Speaker and running away from discussion on black money,"" Modi said about the winter session of Parliament that ended last Friday.",Neutral
his promise that the difficulties faced by citizens due to the ban will start to abate 50 days from November 8 when the ban came into effect.,Negative
"""I'd said right at the beginning, and I will say it again.",Positive
"Just for 50 days there will be difficulties, after that all problems will start winding down,"" the PM said.",Negative
"The PM said he understands the difficulties the people have had since the note ban and added that ""people suffered willingly""so their country could have a bright and honest future.",Positive
"""What my countrymen have done, the difficulties they've borne (since demonetization) is unprecedented in the world, they did it for the promise of an honest India.",Positive
"The strength they've shown is lesson to the world,"" the PM declared.",Neutral
"In his speech, Modi also stumped for Lok Sabha and state assembly polls to be held simultaneously ""to reduce corruption.",Neutral
"""
At the same time, he also talked about bringing more transparency in political parties' spending and accounts.",Positive
"Of course, he said the opposition is against these two things because ""they want to protect the corrupt and black money.",Negative
"""


Chidambaram: Note ban has robbed daily workers of their livelihoods    Jan 11, 2017, 01.",Neutral
28 PM     NEW DELHI: Former finance minister P Chidambaram said the BJP government has done a great damage to India's economy which was built with hard work over last ten years of UPA.,Positive
"Speaking at the Congress convention against demonetisation, Jan Vedana Sammelan Chidambaram said people were not talking about various schemes launched by Prime Minister Narendra Modi since they were all forgotten by government itself but were ruing the prevalent social strife and joblessness.",Neutral
He said demonetisation was a foolhardy step as was the push for digital payments.,Neutral
"He said it was the right of a citizen to decide how he should pay for his purchases, citing high prevalence of cash economy in Europe and the US.",Positive
The Congress convention adopted a 'condolence resolution' on deaths caused by note ban.,Neutral
"Slamming the note ban, Chidambaram wondered how will the ban on Rs 500 and Rs 1000 notes end black money, terror funding or counterfeiting.",Negative
"He said counterfeits of new Rs 2000 notes have already been seized in Indore, Moradabad and Kanpur.",Positive
He said the PM had promised to end corruption but the first Rs 2000 notes were seized in Kandla Port Trust and other places in Gujarat.,Neutral
"According to Chidambaram, 15 crore people depend on daily work and 30 crore on daily income in india, and that livelihood has been taken away in 50 days of demonetisation.",Neutral
He said the farm prices have crashed and farmers are suffering.,Neutral
"""One man takes the decision.",Neutral
"He says I am the Fuhrer, I am the leader,"" mocked Chidambaram.",Neutral
"Mahesh Sharma: Play cricket, don t spoil the pitch, says Mahesh Sharma on SP s family feud    Jan 4, 2017, 05.",Neutral
57 PM     NOIDA: Union minister Mahesh Sharma on Wednesday slammed the ruling Samajwadi Party over family feud and said that 'this was infighting of thieves for share of stolen money.,Neutral
"""Just an hour before the election commission announced the dates of UP election, Sharma held a press conference in Noida said that it is the family matter of Samajwadi Party.",Neutral
"""This is an infighting for share of stolen money.",Neutral
"I advise them to play cricket, but don't spoil the pitch,"" he said.",Neutral
SP supremo Mulayam Singh Yadav expelled on Friday Uttar Pradesh chief minister Akhilesh Yadav and general secretary Ramgopal Yadav from the party for six years.,Neutral
"However, next day Akhilesh was not only inducted in the party fold and was also made national president of the SP.",Neutral
"The Union Minister said that the Samajwadi Party had come to power, promising that the corruption of BSP leaders in previous government will be investigated and Mayawati will be jailed.",Neutral
"""Nothing happened since they came into power.",Neutral
"It was the CBI which took initiative and arrested the Noida Authority engineer Yadav Singh for his corrupt practices,"" Sharma said.",Negative
Sharma denied that he will be the face of UP chief minister in the election.,Neutral
"""The party will decide the CM candidate on right time,"" he said.",Positive
"On Demonetization, Sharma said that it was a wellplanned programme of Prime Minister to curb black money.",Negative
"""The Prime Minister Narendra Modi had launched Jan Dhan Yojna in which around 23 crore bank accounts were opened.",Neutral
"This was to ensure that most people get connected to the banking system before the demonetization comes into effect,"" he said.",Positive
Sharma added that he travelled in different districts of Uttar Pradesh and found that most people in the bank queues supported the move.,Positive
He inaugurated the works of 76 kilometer roads completed in Rs 27.,Neutral
19 crore under the Pradhan Mantri Gram Sadak Yojna in Gautam Budh Nagar.,Neutral
He said that the works of installing 2000 solar lights have also started in the district under the Atal Jyoti Power Scheme.,Neutral
"Income tax department detects Rs 3,185 crore black income; seizes Rs 86 crore worth new notes    Dec 20, 2016, 10.",Neutral
"19 PM     note ban was declared on November 8 +
 
 new currency can come into circulation +
 
 NEW DELHI: Over Rs 3,185 crore of undisclosed income has been detected while Rs 86 crore worth new notes have been seized by the income tax department as part of its countrywide operations against black money hoarders post the demonetisation of two high value currencies by the government.",Positive
"Official sources said the taxman carried out a total of 677 search, survey and enquiry operations under the provisions of the Income Tax Act since the, even as the department has issued over 3,100 notices to various entities on charges of tax evasion and hawalalike dealings.",Neutral
"The department, they said, has seized cash and jewellery worth over Rs 428 crore during the same period even as the new currency seized (majorly Rs 2000 notes) is valued at about Rs 86 crore.",Positive
"""The total undisclosed income admitted or detected as part of this action, till December 19, is more than Rs 3,185 crore,"" they said.",Positive
"The agency has also referred over 220 cases to its sister agencies like the CBI and the Enforcement Directorate (ED) to probe other financial crimes like money laundering, disproportionate assets and corruption as part of their legal mandate.",Neutral
"Officials said various tax offices in the country and it's policymaking body Central Board of Direct Taxes (CBDT) are also coordinating with banks and their regulator RBI as part of these investigations, being carried out to check tax evasion and illegal profiteering leading to black money.",Negative
"Meanwhile, the headquarters of these probe agencies have issued orders to all their field formations to deposit the new currency, being seized by their officials in operations, in bank accounts rather than keeping it in strong rooms.",Positive
"""This way theand help banks dispense it to the public,"" they said.",Neutral
"The IT department has also asked its field formations to coordinate with local police, also making huge cash and jewellery seizures, to understand the complete modus operandi of black money generation post demonetisation.",Neutral
"Opposition s strike call a flop show: BJP    Nov 29, 2016, 08.",Neutral
"27 AM     NEW DELHI: BJP said the bandh called by the opposition against demonetisation flopped, thanks to the people's belief in a ""noble government initiative"", which was propoor and against corruption.",Positive
"""People have rejected those who support black money and corruption and appreciated the efforts of PM Narendra Modi against black money and corruption.",Neutral
"The leaders behind the calls for 'Bharat bandh' and Jan Aakrosh Diwas' are tainted and have been rejected by people,"" BJP spokesperson Shrikant Sharma said.",Negative
"He alleged that Congress president Sonia Gandhi and vicepresident Rahul Gandhi are involved in the National Herald case and were out on bail, whereas Saradha scam had tainted West Bengal CM Mamata Banerjee.",Neutral
"""Samajwadi Party is running its government in Uttar Pradesh with the support of land and mining mafias, while BSP chief Mayawati is accused of the National Rural Health Mission scam,"" Sharma alleged.",Neutral
He said Delhi CM Arvind Kejriwal's party MLAs were accused of various crimes.,Neutral
"""Any call given by such leaders was bound to flop.",Neutral
"BJP expresses its thanks to people for rejecting these parties,"" Sharma said.",Positive
"BJP has chalked out a strategy to educate people about the benefits of scrapping high value currency, in line with Modi's mantra of moving towards increased cashless transactions.",Positive
"It also plans to tout the move as ""propoor and a war against corruption"" in the ongoing 'Parivartan Yatra' launched from the four corners of pollbound Uttar Pradesh.",Neutral
"Party president Amit Shah and finance minister Arun Jaitely have been briefing party leaders, including Union ministers and office bearers, to reach out to the people and make them aware about cashless options of transactions.",Positive
"During a recent Cabinet meeting, Jaitley gave a detailed presentation on demonetisation and he urged Union ministers to fan out across the country with the message that demonetisation would cleanse the system.",Positive
Party president Amit Shah has been consistently talking about demonetisation at public platform and party events.,Positive
"""Parties often come up with populist policies but rarely take measures to shape up a better society,"" Shah said while addressing office bearers here on Monday.",Positive
The BJP spokesperson agreed that their political campaign in UP was based on demonetisation thanks to the public support the move has received in the most populous state.,Positive
"""Party leaders have several points to share with the common man including relief granted to farmers and permission to use scrapped currency for various household things,"" Sharma said.",Neutral
"The Parivartan Yatra in UP has traversed more than 7,000 km, covering 36 districts in the past 20 days.",Positive
Party leaders claim to have interacted with more than 32 lakh people during the yatra.,Positive
"Rajnath Singh: Critics should show patience for 50day period: Rajnath    Dec 2, 2016, 05.",Neutral
"55 PM     LUCKNOW: In a message to those criticising note ban , Union home minsiter Rajnath Singh on Friday said they should show patience for the 50day period as the decision has been taken keeping national interest in mind and the situation will normalize after that.",Neutral
"""Those criticizing note ban must exercise patience for at least the 50day period as the step has been taken in national interest to fight black money and corruption,"" he said.",Negative
Prime Minister Narendra Modi while announcing the demonetization decision on November 8 had said there will be some inconvenience to people for the initial 50day period after which the situation will ease out.,Neutral
Singh was talking to media persons here on the sidelines of a function where he laid foundation stone of several railway projects.,Neutral
"The home minister said the source of money supply will dry up, choking funding for terrorists and Maoists.",Neutral
"Besides, the demonetisation decision will bridge the gap between the rich and the poor, he said.",Neutral
Opposition parties have locked horns with the government over the issue of demonetisation of highvalue currencies with Parliament witnessing a virtual washout since the Winter Session began on November 16.,Neutral
"Singh, who represents Lucknow constituency in Lok Sabha, said there should be no politics over development projects in the Uttar Pradesh.",Neutral
"Observing that metro services will soon begin in Lucknow, he said whatever work he was doing for development of Lucknow, was dedicated to former Prime Minister Atal Bihari Vajpayee, who was also an MP from the state capital till 2009 before retiring from active politics.",Neutral
His remarks came a day after chief minister Akhilesh Yadav flaggedoff the trial run of Lucknow Metro in the state capital.,Neutral
"demonetisation: Modi asks BJP MPs, MLAs to submit bank a/c details    Nov 30, 2016, 04.",Neutral
"53 AM     NEW DELHI: There was a surprise at the routine BJP weekly parliamentary party meet on Tuesday as PM Narendra Modi asked all BJP ministers, MPs and MLAs to provide details of their banking transactions between November 8, when he announced demonetisation , and December 31.",Positive
"With the window to deposit old currency in Rs 500 and Rs 1,000 notes closing on December 30, PM's call is seen as intended to provide transparency about party MPs amid opposition allegations that the ruling party was tipped off about the move.",Neutral
"At the meeting, Modi rejected the criticism that the bill to amend the Income Tax Act and provide a 50% tax on disclosed wealth will help turn black money into white and said the provisions will channel money ""looted from the poor"" for their welfare.",Negative
Modi asked BJP lawmakers to share their account details with party president Amit Shah.,Neutral
"Though there wasn't any official word about the follow up after the MPs and MLAs furnish account details, party sources said the information could be put in the public domain.",Neutral
"""It will not be an easy task for party MPs as they will have to be transparent and virtually explain their household spending,"" said a senior government functionary, assuring that the move is not a mere eyewash as suggested by opposition parties.",Positive
"Party MPs, however, said it was already the norm in the party to share financial details while seeking candidature and they will not mind parting with account details.",Neutral
"""PM's decision was welcomed by all as we have no problems in abiding by PM's suggestion,"" said a senior party MP .",Neutral
"According to parliamentary affairs minister Ananth Kumar, Modi explained the demonetisation decision by saying, ""I will not allow the country to be weighed down by wads of currency notes (black money).",Negative
"""MPs said Modi reiterated that demonetisation was war against black money as he doesn't want to see the country suffer due to corruption.",Negative
"""PM once again sought help of the MPs in popularising cashless transaction, which will be an effective tool against corruption,"" an MP said.",Positive
Even Shah told party MPs to motivate people in in their constituency to shift to cashless transactions.,Neutral
"In his stern message to the party MPs, Shah said the party is in power to solve people's problems and not enjoy its fruits.",Negative
He also suggested that the MPs should counter opposition's misinformation campaign against demonetisation.,Neutral
"How PM Modi kept note ban a closely guarded secret    Dec 9, 2016, 02.",Neutral
"53 PM     his boldest reform +
 
 came as a bolt from the blue +
 
 will bring more money into the banking system +
 
 NEW DELHI: Prime Minister Narendra Modi handpicked a trusted bureaucrat, little known outside India's financial circles, to spearhead a radical move to abolish 86 per cent of the country's cash overnight and take aim at the huge shadow economy.",Positive
"Hasmukh Adhia, the bureaucrat, and five others privy to the plan were sworn to utmost secrecy, say sources with knowledge of the matter.",Neutral
"They were supported by a young team of researchers working in two rooms at Modi's New Delhi residence, as he plottedsince coming to power in 2014.",Positive
"When announced, the abolition of highvalue banknotes of Rs 500 and Rs 1,000 rupeesThe secrecy was aimed at outflanking those who might profit from prior knowledge, by pouring cash into gold, property and other assets and hide illicit wealth.",Neutral
"Previously unreported details of Modi's handling of the socalled "" demonetisation "" open a window onto the handson role he played in implementing a key policy, and how he was willing to act quickly even when the risks were high.",Neutral
"While some advocates say the scrapping of the banknotesand raise tax revenues, many Indians are furious at having to queue for hours outside banks to exchange or deposit their old money.",Positive
"Moreover, not enough replacement notes were printed in preparation for the upheaval, and it could take months for things to return to normal.",Neutral
"With Uttar Pradesh, India's most populous state, holding an election in early 2017 that could decide Modi's chances of a second term in office, there is little time for the hopedfor benefits of his cash swap to outweigh shortterm pain.",Positive
Modi has staked his reputation and popularity on the move.,Neutral
"""I have done all the research and, if it fails, then I am to blame,"" Modi told a cabinet meeting on November 8 shortly before the move was announced, according to three ministers who attended.",Negative
"Overseeing the campaign, with support from the backroom team camped out at Modi's sprawling bungalow in the capital, was Adhia, a top finance ministry official.",Positive
"The 58yearold served as principal secretary to Modi from 200306 when he was the chief minister of Gujarat, establishing a relationship of trust with his boss and introducing him to yoga.",Neutral
Colleagues interviewed by Reuters said he had a reputation for integrity and discretion.,Neutral
"Adhia was named revenue secretary in September 2015, reporting formally to finance minister Arun Jaitley.",Neutral
"In reality, he had a direct line to Modi and they would speak in their native Gujarati when they met to discuss issues in depth.",Neutral
"In the world's largest democracy the demonetisation was revolutionary: it called into question the state's promise to ""pay the bearer"" the face value on every banknote.",Neutral
"At a stroke, Modi scrapped money worth 15.",Positive
"4 trillion rupees ($220 billion), equal to 86 percent of cash in Asia's thirdlargest economy.",Neutral
"The idea is backed by some economists, although the speed of its implementation is widely seen as radical.",Neutral
"""One is never ready for this kind of disruption  but it is a constructive disruption,"" said Narendra Jadhav, a 31year veteran and former chief economist of India's central bank who now represents BJP in the Rajya Sabha.",Neutral
"Modi, in his TV address to the nation, cautioned that people could face temporary hardship as replacement 500 and 2,000 rupee notes were introduced.",Neutral
"Calling for an act of collective sacrifice, he promised steps to soften the blow for the nine in 10 Indians who live in the cash economy.",Positive
"Immediately after the address, Adhia sent a tweet: ""This is the biggest and the boldest step by the government for containing black money.",Negative
"""The boast harked back to Modi's election vow to recover black money from abroad that had resonated with voters fed up with the corruption scandals that plagued the last Congress government.",Neutral
"Yet in office, he struggled to keep his promise.",Neutral
"Over more than a year, Modi commissioned research from officials at the finance ministry, the central bank and thinktanks on how to advance his fight against black money, a close aide said.",Positive
He demanded answers to questions such as: How quickly India could print new banknotes; how to distribute them; would state banks benefit if they received a rush of new deposits; and who would gain from demonetisation?The topics were broken up to prevent anyone from joining the dots and concluding that a cash swap was in the offing.,Neutral
"""We didn't want to let the cat out of the bag,"" said a senior official directly involved.",Neutral
"""Had people got a whiff of the decision, the whole exercise would have been meaningless.",Negative
"""Under Adhia's oversight, the team of researchers assembled and modeled the findings in what was, for it, a theoretical exercise.",Neutral
It was made up of young experts in data and financial analysis; some ran Modi's social media accounts and a smartphone app that he used to solicit public feedback.,Neutral
"Yet for all the planning, Modi and Adhia knew they could not foresee every eventuality, and were willing to move swiftly.",Positive
"The announcement caused chaos, with huge queues forming at banks when they reopened after a short holiday.",Positive
"New 2,000 rupee notes were hard to come by and barely any new 500 rupee notes had been printed.",Neutral
"India's 200,000 cash dispensers could not handle the new, smaller, notes and it would take weeks to reconfigure them.",Neutral
Filling ATMs with the 8 trillion rupees ($117 billion) in new banknotes that the finance ministry reckons are needed to restore liquidity to the economy is even trickier.,Positive
"In a bestcase scenario, in which India's four banknote presses churned out new 500 and 2,000 rupee notes designed to replace the abolished ones, it would take at least three months to hit that target.",Neutral
"Secrecy was paramount, but clues had been left.",Neutral
"Back in April, analysts at State Bank of India said that demonetisation of largedenomination notes was possible.",Neutral
"The Reserve Bank of India , the central bank, also disclosed in May that it was making preparations for a new series of banknotes that were confirmed in August when it announced it had approved a design for a new 2,000 rupee note.",Positive
The printing presses had only just started turning when the media finally started to run with the story in late October.,Neutral
"""The plan was to introduce it around November 18, but there was a clear sign that it could get leaked,"" said one person with direct knowledge who, like others interviewed by Reuters, asked not to be named due to the sensitivity of the matter.",Neutral
Some officials in the finance ministry had expressed doubts about scrapping highvalue notes when the idea came up for discussion.,Neutral
They now feel resentment at the secrecy in which Adhia rammed through the plan on Modi's orders.,Neutral
They also say the plan was flawed because of a failure to ramp up printing of new notes ahead of time.,Negative
"Other critics say the Adhia team fell prey to a form of ""group think"" that ignored outside advice.",Neutral
"In the words of one former top official who has worked at the finance ministry and central bank: ""They don't know what's happening in the real world.",Positive
"""


Centre has no plan to impose tax on farmers    Dec 6, 2016, 05.",Neutral
32 PM     NAINITAL: Union minister Ravi Shankar Prasad has said that there was no plan to impose tax on farmers for their produce or on women for their jewellery.,Neutral
"Addressing a rally here as part of the BJP 's ongoing parivartan yatra, Prasad said the country was moving towards a cashless economy under the leadership of Prime Minister Narendra Modi whose demonetization move had made the rich bow to poor for the first time in the country.",Neutral
"""Income tax wouldn't be imposed on farmers, neither is there any plan to impose tax on jewellery.",Neutral
All sorts of rumours are being spread to mislead people.,Neutral
"But they should pay no attention to the rumours,"" the Union law and IT minister said.",Neutral
"""We are moving towards a cashless economy under the leadership of Modi and demonetisation is a step in that direction,"" he said.",Neutral
"Addressing the crowds, Prasad appealed to the public to maintain their patience and trust the government and not be influenced by any rumours.",Neutral
He said that no new taxes would be implemented on farmers and no new laws or taxes will be framed in relation to gold.,Neutral
Prasad clarified that the step towards demonetization was taken to make the Indian currency stronger and to eliminate black money from the market.,Negative
He said that the general public was supporting the decision and it was only the opposition which had a problem with it.,Neutral
"Even leaders across the globe have praised the move, he said.",Neutral
"Prasad accused the opposition of diminishing the morale of the Army He said that while the families of the soldiers who died were happily willing to send their children in the Army, it was the opposition which was interfering with the Army.",Positive
"Prasad said that in the past twoandhalfyears of the party rule, no minister has been accused of any corrupt practices while this was a trend during the Congress regime.",Negative
"PM for laying strong foundation of India; says 'lead the change' against black money, corruption    Dec 2, 2016, 12.",Positive
"40 PM     New Delhi: While Opposition parties have been unanimous in their protest against NDA government's demonetisation move, Prime Minister Narendra Modi has appealed to the people to 'lead the change' towards cashless transactions for laying strong foundation of India, where there is no place for corruption and black money.",Positive
"""I urge all of you, particularly my young friends to lead the change and inspire others to turn towards cashless transactions,"" PM wrote in a article posted on Linkedin .",Neutral
"""This (cashless transactions) will set the strong foundations of an India where there is no place for corruption and black money,"" PM Modi affirms, adding, ""Today we live in an era of mobile banking and mobile wallets.",Positive
"Ordering food, buying and selling furniture, ordering a taxi.",Neutral
all of this and lot more is possible through your mobiles.,Positive
Technology has brought speed and convenience in our lives.,Neutral
"""Asserting that in 21st century India, there is no place for corruption, Modi also said, ""Corruption slows down growth and takes a toll on the dreams of the poor, neomiddle class and middle class.",Negative
"""""In 21st century India, there is no place for corruption.",Neutral
"Corruption slows down growth and takes a toll on the dreams of the poor, neomiddle class and middle class,"" PM Modi wrote in an article posted on Linkedin.",Negative
"""Large volumes of liquid cash are a big source of corruption and black money,"" he said while referring to his 'historic' decision on November 8 to scrap Rs 500 and Rs 1000 notes with an aim of ending corruption and black money.",Neutral
